,유기번호,품종,나이,체중,특징,특징단어
905,427346202201083,[고양이] 한국 고양이,2022(년생),0.46(Kg),순함.,순
906,427346202201082,[고양이] 한국 고양이,2022(년생),0.66(Kg),"귀여움, 건사료 잘먹음",귀엽 건 사료 잘 먹
907,427346202201081,[개] 믹스견,2019(년생),6.5(Kg),"한달전쯤 발견, 연분홍색 목줄착용",달 전쯤 발견 연분홍색 목줄 착용
908,427346202201079,[고양이] 한국 고양이,2022(년생),0.38(Kg),겁이많음,겁 많
909,427345202200687,[개] 믹스견,2022(년생),1.5(Kg),생후 1개월령 추정,생후 1 개 월령 추정
910,427345202200686,[개] 믹스견,2022(년생),1.5(Kg),생후 1개월령 추정,생후 1 개 월령 추정
911,427345202200685,[개] 믹스견,2022(년생),1.5(Kg),생후 1개월령 추정,생후 1 개 월령 추정
912,427345202200684,[개] 믹스견,2022(년생),1.5(Kg),생후 1개월령 추정,생후 1 개 월령 추정
913,427345202200683,[개] 믹스견,2022(년생),1.5(Kg),생후 1개월령 추정,생후 1 개 월령 추정
914,427345202200682,[개] 믹스견,2022(년생),1.5(Kg),생후 1개월령 추정,생후 1 개 월령 추정
915,427345202200681,[개] 믹스견,2022(년생),1.5(Kg),생후 1개월령 추정,생후 1 개 월령 추정
916,427345202200680,[개] 믹스견,2022(년생),1.5(Kg),생후 1개월령 추정,생후 1 개 월령 추정
917,427345202200679,[개] 믹스견,2022(년생),1.5(Kg),생후 1개월령 추정,생후 1 개 월령 추정
918,426340202200511,[개] 믹스견,2018(년생),12(Kg),순함,순
919,411320202201007,[개] 시츄,2020(년생),3.1(Kg),치석없고미용되어있으며군청색옷착용하고있으며온순하고잘따르고경계심없음,치석 없 미용 군청색 옷 착용 온순 잘 따르 경계심 없
920,411316202200922,[고양이] 한국 고양이,2022(년생),0.9(Kg),눈곱. 콧물. 설사(범백검사:음성). 온순. 코연핑크. 털분변묻음.,눈곱 콧물 설사 범백 검사 음성 온순 코 연 핑크 터 분변 묻
921,411313202200739,[고양이] 한국 고양이,2022(년생),0.1(Kg),갓출생함/탯줄/저체온증,갓 출생 탯줄 저체온 증
922,411312202200595,[개] 시바,2021(년생),4.3(Kg),귀쫑긋.눈썹밝은갈색.얼굴만지는거싫어함. 노란방울달린목줄+빨간하네스.송곳니짧음.꼬리단미안됨.,귀 쫑긋 눈썹 밝 갈색 얼굴 만지 싫어하 노 방울 달리 목줄 빨갛 네스 송곳니 짧 꼬리 단 미안
923,447510202200415,[개] 믹스견,2022(년생),2(Kg),"3개월령 추정, 경계심",3 개 월령 추정 경계심
924,447510202200414,[개] 믹스견,2022(년생),3(Kg),"3개월령 추정, 쇠약, 경계심",3 개 월령 추정 쇠약 경계심
925,447510202200411,[개] 믹스견,2022(년생),2(Kg),3개월령 추정,3 개 월령 추정
926,447510202200410,[개] 믹스견,2022(년생),2(Kg),3개월령 추정,3 개 월령 추정
927,444454202200559,[고양이] 러시안 블루,2021(년생),2.85(Kg),"파보음성(1014), 종합/광견병백신(1014) ",파보 음성 1014 종합 광견병 백신 1014
928,444454202200558,[개] 포메라니안,2019(년생),3.2(Kg),"빨간색 목줄, 미용흔적, 홍역/파보/심장사상충음성(1014), 종합/광견병백신(1014) ",빨간색 목줄 미용 흔적 홍역 파보 심장 사상충 음성 1014 종합 광견병 백신 1014
929,444454202200557,[개] 믹스견,2022(년생),9.1(Kg),"홍역/파보음성(1013), 종합/광견병백신(1013) ",홍역 파 보음 1013 종합 광견병 백신 1013
930,444454202200556,[개] 믹스견,2022(년생),8.1(Kg),"홍역/파보음성(1013), 종합/광견병백신(1013) ",홍역 파 보음 1013 종합 광견병 백신 1013
931,444454202200555,[개] 믹스견,2022(년생),8.4(Kg),"홍역/파보음성(1013), 종합/광견병백신(1013) ",홍역 파 보음 1013 종합 광견병 백신 1013
932,444449202201649,[개] 믹스견,2022(년생),4(Kg),"어미와 함께 8마리 구조,50일령",어미 함께 8 마리 구조 50 일령
933,444449202201648,[개] 믹스견,2022(년생),4(Kg),"어미와 함께 8마리 구조,50일령",어미 함께 8 마리 구조 50 일령
934,444449202201647,[개] 믹스견,2022(년생),4(Kg),"어미와 함께 8마리 구조,50일령,배털이 흰색임",어미 함께 8 마리 구조 50 일령 배 털이 흰색
935,444449202201646,[개] 믹스견,2022(년생),4(Kg),"어미와 함께 8마리 구조,50일령,코만 흰털",어미 함께 8 마리 구조 50 일령 코 희 털
936,444449202201645,[개] 믹스견,2022(년생),4(Kg),"어미와 함께 8마리 구조,50일령,왼쪽 코옆 피부염있음",어미 함께 8 마리 구조 50 일령 왼쪽 코 옆 피부염 있음
937,444449202201644,[개] 믹스견,2022(년생),4(Kg),"어미와 함께 8마리 구조,50일령,귀랑 입이 까만색털임",어미 함께 8 마리 구조 50 일령 귀 입이 까만색 털
938,444449202201643,[개] 믹스견,2022(년생),4(Kg),"어미와 함께 8마리 구조,50일령,피부염 있음 (오른쪽 입 옆)",어미 함께 8 마리 구조 50 일령 피부염 있음 오른쪽 입 옆
939,444449202201642,[개] 믹스견,2019(년생),14(Kg),"젖이 늦어져있음, 아이들과 함께구조,8마리 함께구조",젖 늦어지 있음 아이 함께 구조 8 함께 구조
940,444449202201641,[개] 믹스견,2018(년생),8(Kg),"젖이 늘어져있음, 웰시코기 믹스 추정",젖 늘어지 있음 웨 시 코 기 믹스 추정
941,431373202201309,[개] 진도견,2018(년생),16.2(Kg),사나움,사나움
942,431372202200548,[고양이] 한국 고양이,2022(년생),0.5(Kg),아기묘,아기 묘
943,431372202200547,[고양이] 한국 고양이,2022(년생),0.6(Kg),아기묘,아기 묘
944,431372202200546,[고양이] 한국 고양이,2022(년생),0.6(Kg),아기묘,아기 묘
945,431372202200545,[고양이] 한국 고양이,2022(년생),0.5(Kg),아기묘,아기 묘
946,431371202200508,[개] 믹스견,2016(년생),18.7(Kg),경계심 강함/사나움,경계심 강 사나움
947,431371202200507,[고양이] 한국 고양이,2022(년생),0.6(Kg),고등어 아묘,고등어 아 묘
948,431369202200687,[개] 믹스견,2022(년생),10.1(Kg),순함,순
949,428354202201841,[개] 믹스견,2021(년생),20(Kg),"순함,사람과 교류가 적은듯 무서워함",순 사람 교류 적 무서워하
950,442419202200906,[개] 믹스견,2018(년생),4.3(Kg),"목줄착용, 등라인부분 짖은갈색",목줄 착용 등 라인 부분 짖 갈색
951,442419202200905,[개] 믹스견,2022(년생),2(Kg),뒷다리 발끝부분 흰색,뒷다리 발끝 부분 흰색
952,442419202200904,[고양이] 한국 고양이,2022(년생),1.3(Kg),"삼색이, 흰,검정 ",삼색 희 검정
953,442419202200903,[개] 믹스견,2019(년생),4.6(Kg),"목줄, 분홍 형광불빛통",목줄 분홍 형광 불빛 통
954,428354202201827,[개] 믹스견,2017(년생),15(Kg),우측안구소실.칩있음,우측 안구 소실 칩 있음
955,428354202201826,[개] 믹스견,2022(년생),0.5(Kg),생후1일자견,생후 1 일자 견
956,428354202201825,[개] 믹스견,2022(년생),0.5(Kg),생후1일자견,생후 1 일자 견
957,428354202201824,[개] 믹스견,2022(년생),0.5(Kg),생후1일자견,생후 1 일자 견
958,428354202201823,[개] 믹스견,2022(년생),0.5(Kg),생후1일자견,생후 1 일자 견
959,428354202201822,[개] 믹스견,2022(년생),0.5(Kg),생후1일자견,생후 1 일자 견
960,428354202201821,[개] 믹스견,2022(년생),0.5(Kg),생후1일자견,생후 1 일자 견
961,428354202201820,[개] 믹스견,2022(년생),0.5(Kg),생후1일자견,생후 1 일자 견
962,445473202200241,[개] 믹스견,2020(년생),20(Kg),사람을 잘 따름,사람 자
963,441408202200933,[개] 믹스견,2022(년생),2.25(Kg),동배 4마리와 같이 구조,동배 4 마리 같이 구조
964,441408202200932,[개] 믹스견,2022(년생),1.7(Kg),동배 4마리와 같이 구조,동배 4 마리 같이 구조
965,441408202200931,[개] 믹스견,2022(년생),1.9(Kg),동배 4마리와 같이 구조,동배 4 마리 같이 구조
966,441408202200930,[개] 믹스견,2022(년생),2.05(Kg),동배 4마리와 같이 구조,동배 4 마리 같이 구조
967,441408202200929,[개] 믹스견,2022(년생),2.3(Kg),동배 4마리와 같이 구조,동배 4 마리 같이 구조
968,441408202200928,[개] 말티즈,2012(년생),2.6(Kg),사진상 옷/기침,사진 옷 기침
969,428351202200915,[개] 믹스견,2021(년생),5.3(Kg),순함,순
970,427345202200690,[고양이] 한국 고양이,2022(년생),0.42(Kg),이동장 유기,이동 장 유기
971,427345202200689,[개] 믹스견,2020(년생),6(Kg),.,
972,450650202203931,[고양이] 한국 고양이,2022(년생),0.2(Kg),개체관리번호 22711 - 1개월/기력감소,개체 관리 번호 22711 1 개월 기력 감소
973,450650202203930,[고양이] 한국 고양이,2022(년생),0.2(Kg),개체관리번호 22710 - 1개월,개체 관리 번호 22710 1 개월
974,450650202203929,[고양이] 한국 고양이,2022(년생),0.6(Kg),개체관리번호 22709 - 2개월,개체 관리 번호 22709 2 개월
975,450650202203928,[고양이] 한국 고양이,2022(년생),0.1(Kg),개체관리번호 22708 - 5일차,개체 관리 번호 22708 5 일 차
976,450650202203927,[개] 믹스견,2022(년생),1(Kg),개체관리번호 3287 - 1개월,개체 관리 번호 3287 1 개월
977,450650202203926,[개] 믹스견,2022(년생),1(Kg),개체관리번호 3286 - 1개월,개체 관리 번호 3286 1 개월
978,450650202203925,[개] 믹스견,2022(년생),1(Kg),개체관리번호 3285 - 1개월,개체 관리 번호 3285 1 개월
979,450650202203924,[개] 말라뮤트,2017(년생),28(Kg),개체관리번호 3284 - 낡은목줄/심장사상충,개체 관리 번호 3284 낡 목줄 심장 사상충
980,450650202203923,[개] 믹스견,2022(년생),3(Kg),개체관리번호 3283 - 3개월/경계심,개체 관리 번호 3283 3 개월 경계심
981,450650202203922,[개] 믹스견,2022(년생),0.1(Kg),개체관리번호 3282 - 1일차/이유식후분양,개체 관리 번호 3282 1 일차 이유식 후 분양
982,450650202203921,[개] 믹스견,2022(년생),0.1(Kg),개체관리번호 3281 - 1일차/이유식후분양,개체 관리 번호 3281 1 일차 이유식 후 분양
983,450650202203920,[개] 믹스견,2022(년생),0.1(Kg),개체관리번호 3280 - 1일차/이유식후분양,개체 관리 번호 3280 1 일차 이유식 후 분양
984,450650202203919,[개] 믹스견,2022(년생),0.1(Kg),개체관리번호 3279 - 1일차/이유식후분양,개체 관리 번호 3279 1 일차 이유식 후 분양
985,450650202203918,[개] 믹스견,2022(년생),0.1(Kg),개체관리번호 3278 - 1일차/이유식후분양,개체 관리 번호 3278 1 일차 이유식 후 분양
986,450650202203917,[개] 믹스견,2020(년생),9(Kg),개체관리번호 3277 - 목올무상처,개체 관리 번호 3277 목 올무 상처
987,448567202200909,[개] 믹스견,2021(년생),8.2(Kg),L-10-1-18  연갈색+흰색. 사람좋아하고 사랑스런 진도믹스아이. 목줄 리드줄 강아지꺼~,연갈색 흰색 사람 좋아하 사랑 진도 믹스 아이 목줄 리드 주 강아지 꺼
988,448547202200676,[고양이] 한국 고양이,2022(년생),1.5(Kg),"상태 안 좋음, 쇠약, 기립불능",상태 안 좋 쇠약 기립 불능
989,448547202200675,[개] 믹스견,2022(년생),2(Kg),순함,순
990,448547202200674,[개] 믹스견,2022(년생),2(Kg),순함,순
991,448547202200673,[개] 말라뮤트,2019(년생),30(Kg),내장칩 있음,내장 칩 있음
992,448545202200117,[개] 믹스견,2010(년생),1.8(Kg),"구조시 목줄없음, 노령견",구조 시 목줄 없 노령 견
993,448538202200557,[개] 믹스견,2021(년생),6.5(Kg),흰색 사상충양성,흰색 사상충 양성
994,448537202201222,[개] 믹스견,2022(년생),7(Kg),경계있음,경계 있음
995,446483202201111,[고양이] ,2022(년생),0.9(Kg),밤 11시30분경 버스승강장에서구조 ,밤 11 시 30 분경 버스 승강장 구조
996,446482202200657,[고양이] 한국 고양이,2022(년생),0.4(Kg),"허피스,결막염,쥐 찐득이에 붙음 ",허 피스 결막염 쥐 찐득 이에 붙음
997,446482202200656,[고양이] 한국 고양이,2022(년생),0.42(Kg),"허피스,결막염 ",허 피스 결막염
998,446481202200961,[개] 진도견,2020(년생),20.5(Kg),온순함.,온순
999,445476202200311,[개] 믹스견,2019(년생),8.5(Kg),"신고자의 집 배회, 손길을 싫어하지는 않음.",신고자 집 배회 손길 싫어하
1000,445470202200882,[개] 믹스견,2018(년생),7.5(Kg),피부질환,피부 질환
1001,445468202201753,[개] 퍼그,2014(년생),5(Kg),뒤쪽다리가 다처보이며 순함,뒤쪽 다리 다처 보이 순
1002,445468202201752,[고양이] 한국 고양이,2022(년생),0.4(Kg),생후45일정도 순하고이쁘게생겼음,생후 45 일 정도 순 이쁘 생기
1003,445468202201751,[고양이] 한국 고양이,2022(년생),0.3(Kg),생후30일정도 작고순하며이쁘게생겼음,생후 30 일 정도 작고 순 이쁘 생기
1004,445468202201750,[고양이] 한국 고양이,2022(년생),0.3(Kg),생후30일정도 작고순하며이쁘게생겼음,생후 30 일 정도 작고 순 이쁘 생기
1005,445468202201749,[고양이] 한국 고양이,2022(년생),0.3(Kg),생후30일정도 작고순하며이쁘게생겼음,생후 30 일 정도 작고 순 이쁘 생기
1006,445468202201748,[개] 믹스견,2022(년생),2(Kg),생후45일정도 순하고이쁘게생겼음,생후 45 일 정도 순 이쁘 생기
1007,445468202201747,[개] 믹스견,2022(년생),2(Kg),생후45일정도 순하고이쁘게생겼음,생후 45 일 정도 순 이쁘 생기
1008,445467202201798,[고양이] 믹스묘,2021(년생),2.9(Kg),기력저하 많이 말랐음,기력 저하 많이 말르
1009,445467202201797,[개] 믹스견,2022(년생),1.2(Kg),생후1개월추정,생후 1 개월 추정
1010,445467202201795,[개] 믹스견,2022(년생),1.2(Kg),생후1개월추정,생후 1 개월 추정
1011,445467202201794,[개] 믹스견,2022(년생),1.2(Kg),생후1개월추정,생후 1 개월 추정
1012,445467202201793,[개] 믹스견,2022(년생),1.2(Kg),생후1개월추정,생후 1 개월 추정
1013,445467202201792,[개] 믹스견,2022(년생),1.2(Kg),생후1개월 추정,생후 1 개월 추정
1014,445467202201790,[개] 믹스견,2020(년생),7(Kg),포획틀구조 경계많음,포획 틀 구조 경계 많
1015,444460202200624,[개] 믹스견,2020(년생),6(Kg),마른체형.119소방대포획,마르 체형 119 소방대 포획
1016,444455202200281,[개] 진도견,2022(년생),15(Kg),호피무늬의 진도견,호피 무늬 진도 견
1017,444450202200354,[개] 믹스견,2019(년생),4.5(Kg),"전신 피부염, 털이 많이 빠짐",전신 피부염 털이 많이 빠지
1018,444450202200352,[개] 믹스견,2021(년생),20.0(Kg),순한편이고 피부염이 약간 있음,순 편이 피부염 약간 있음
1019,443447202200266,[개] 믹스견,2021(년생),7(Kg),얌전하고 사람을 따르는 편임,얌전 사람 따르
1020,443447202200265,[개] 믹스견,2021(년생),8(Kg),대체로 마른편이며 겁이 많아 보임,대체로 마르 겁 많 보이
1021,443447202200264,[개] 믹스견,2021(년생),7(Kg),발끝부분과 목 아래 일부 흰색이 두드러짐,발끝 부분 목 아래 일부 흰색 두드러지
1022,443444202200301,[개] 믹스견,2015(년생),5.7(Kg),"미등록,목줄 착용",미 등록 목줄 착용
1023,443444202200300,[개] 믹스견,2016(년생),9(Kg),"미등록,목줄,견인줄 미착용",미 등록 목줄 견인 줄 미 착용
1024,441559202201149,[개] 믹스견,2021(년생),7.5(Kg),귀처짐. 코검정. 마름. 사람좋아함/겁많음. 꼬리단미안됨. 털상태양호.,귀처 짐 코 검정 마름 사람 좋아하 겁 많 꼬리 단 미안 터 상태 양호
1025,441559202201148,[개] 믹스견,2021(년생),6(Kg),귀쫑긋. 눈곱. 코검정. 결막염. 유선발달. 꼬리단미안됨. 털상태양호.,귀 쫑긋 눈곱 코 검정 결막염 유선 발달 꼬리 단 미안 터 상태 양호
1026,441414202200867,[개] 믹스견,2019(년생),18(Kg),귀쫑긋. 흰바탕+파란줄목걸이착용. 경계심강함/공격적/입질/사나워칩유무확인불가. 눈곱. 꼬리단미안됨.,귀 쫑긋 흰바탕 파랗 줄목 걸이 착용 경계심 강 공격적 입질 사납 칩 유무 확인 불가 눈곱 꼬리 단 미안
1027,441414202200866,[개] 믹스견,2022(년생),1.36(Kg),귀접힘. 코검정. 입질/겁많음. 피부병. 꼬리단미안됨. 털상태양호.,귀 접힘 코 검정 입질 겁 많 피부병 꼬리 단 미안 터 상태 양호
1028,441414202200865,[개] 포메라니안,2020(년생),3.6(Kg),앞다리기형. 코검정. 눈곱약간. 송곳니유치남아있음. 꼬리단미안됨. 털상태양호.,앞다리 기형 코 검정 눈곱 약간 송곳니 유치 남 있음 꼬리 단 미안 터 상태 양호
1029,441409202201575,[고양이] 한국 고양이,2022(년생),0.5(Kg),눈곱. 콧물. 코분홍+검정. 털상태양호.,눈곱 콧물 코 분홍 검정 터 상태 양호
1030,441409202201574,[고양이] 한국 고양이,2022(년생),0.6(Kg),눈곱. 콧물. 코연분홍. 좌측전지흰색털. 온순함. 털상태불량.,눈곱 콧물 코 연분홍 좌측 전지 흰색 털 온순 터 상태 불량
1031,441409202201573,[고양이] 한국 고양이,2022(년생),0.5(Kg),눈곱. 콧물. 코분홍+검정. 털때탐.,눈곱 콧물 코 분홍 검정 터 때 탐
1032,441409202201572,[개] 믹스견,2021(년생),8(Kg),귀중간부터접힘. 코검정. 꼬리단미안됨. 털상태양호.,귀 중간 접힘 코 검정 꼬리 단 미안 터 상태 양호
1033,441409202201571,[개] 믹스견,2022(년생),4.2(Kg),귀처짐. 코팥죽색. 경계심강함/입질. 꼬리단미안됨. 털상태양호.,귀처 짐 코 팥죽색 경계심 강 입질 꼬리 단 미안 터 상태 양호
1034,441409202201570,[개] 믹스견,2022(년생),2.5(Kg),귀처짐. 코검정. 겁많음. 꼬리단미안됨. 털상태양호.,귀처 짐 코 검정 겁 많 꼬리 단 미안 터 상태 양호
1035,441409202201569,[개] 푸들,2019(년생),4.8(Kg),귀처짐. 코팥죽색. 눈물자국. 최근에미용한흔적. 꼬리단미됨. 털상태양호. 부정교합.,귀처 짐 코 팥죽색 눈물 자국 최근 미용 흔적 꼬리 단 미 터 상태 양호 부정 교합
1036,441409202201568,[개] 믹스견,2022(년생),3.4(Kg),귀처짐. 코검정. 겁많음. 꼬리단미안됨. 털상태양호.,귀처 짐 코 검정 겁 많 꼬리 단 미안 터 상태 양호
1037,441394202202115,[고양이] 한국 고양이,2022(년생),2(Kg),후지부상,후 지부
1038,441394202202099,[개] 믹스견,2022(년생),3.5(Kg),빨간색 목줄착용,빨간색 목줄 착용
1039,441393202201999,[개] 믹스견,2022(년생),2(Kg),"1개월추정,순함,사람좋아함,활발함",1 개월 추정 순 사람 좋아하 활발
1040,441393202201998,[개] 믹스견,2022(년생),1.5(Kg),"1개월추정,순함,사람좋아함,활발함",1 개월 추정 순 사람 좋아하 활발
1041,441392202200236,[개] 프렌치 불독,2021(년생),10.2(Kg),코검정. 낑낑댐/사람잘따름. 꼬리단미안됨. 털상태양호. ,코 검정 낑낑 댐 사람 잘 따름 꼬리 단 미안 터 상태 양호
1042,441392202200235,[개] 믹스견,2020(년생),5.8(Kg),코검정. 겁많음. 꼬리단미안됨. 털상태양호. ,코 검정 겁 많 꼬리 단 미안 터 상태 양호
1043,441392202200234,[개] 프렌치 불독,2019(년생),11.5(Kg),귀쫑긋. 코검정. 젖불어있음. 꼬리말림/단미됨. 털상태양호. 양귀외이염.,귀 쫑긋 코 검정 젖 불어 있음 꼬리 말림 단 미 터 상태 양호 양귀 외이 염
1044,441386202201012,[고양이] 페르시안,2021(년생),2.7(Kg),"페르시안 추정, 귀엽고 애교많음, 사람 좋아함",페르 시안 추정 귀엽 애교 많 사람 좋아하
1045,441383202200676,[고양이] 한국 고양이,2022(년생),2.5(Kg),"3개월추정,순함,눈곱,허피스",3 개월 추정 순 눈곱 허 피스
1046,430366202200340,[개] 믹스견,2019(년생),4(Kg),목줄있음,목줄 있음
1047,430366202200339,[개] 포메라니안,2019(년생),4(Kg),주인반환,주인 반환
1048,430365202200578,[개] 믹스견,2020(년생),5.00(Kg),.,
1049,430365202200577,[개] 믹스견,2019(년생),4.00(Kg),.,
1050,430365202200576,[고양이] 터키시 앙고라,2019(년생),4.00(Kg),.,
1051,428354202201819,[개] 믹스견,2016(년생),20(Kg),임신말기,임신 말기
1052,428354202201818,[고양이] 한국 고양이,2022(년생),0.2(Kg),어미잃은자묘,어미 잃 묘
1053,428354202201811,[개] 믹스견,2021(년생),3.5(Kg),온순하고 건강한 상태,온순 건강 상태
1054,428354202201807,[고양이] 한국 고양이,2022(년생),0.3(Kg),탈수및 기력저하 ,탈수 및 기력 저하
1055,428354202201806,[고양이] 한국 고양이,2022(년생),0.3(Kg),탈수및 기력저하 ,탈수 및 기력 저하
1056,428354202201805,[고양이] 한국 고양이,2022(년생),0.2(Kg),어미잃은 어린고양이,어미 잃 어리 고양이
1057,428354202201804,[고양이] 한국 고양이,2022(년생),0.2(Kg),"어미잃은 어린고양이, 탈수상태",어미 잃 어리 고양이 탈수 상태
1058,428353202201118,[개] 푸들,2014(년생),5(Kg),왼쪽눈백내장,왼쪽 눈 백내장
1059,428352202200483,[고양이] 한국 고양이,2022(년생),0.4(Kg),(어미없는 새끼고양이) 1달추정,어미 없 새끼 고양이 1 달 추정
1060,428352202200482,[개] 시츄,2012(년생),6(Kg),위에이빨없음,위 이빨 없
1061,428351202200916,[개] 시츄,2014(년생),2.8(Kg),파란색 노란색목줄,파란색 노란색 목줄
1062,428351202200914,[개] 포메라니안,2012(년생),2.3(Kg),주인연락함,주인 연락
1063,427345202200678,[고양이] 믹스묘,2022(년생),2(Kg),"기력, 식욕없음, 탈수, 탈진",기력 식욕 없 탈수 탈진
1064,427345202200677,[고양이] 한국 고양이,2022(년생),0.43(Kg),사고추정 의식 없음,사고 추정 의식 없
1065,427344202200339,[고양이] 한국 고양이,2022(년생),0.35(Kg),사고추정 의식 없음,사고 추정 의식 없
1066,427342202200594,[개] 보스턴 테리어,2012(년생),10(Kg),다리에 큰 종양 있음,다리 크 종양 있음
1067,426333202200727,[고양이] 믹스묘,2022(년생),0.8(Kg),"3개월미만 추정, 보행이상, 설사, 기력저하, 갈색+흰색",3 개월 미만 추정 보행 이상 설사 기력 저하 갈색 흰색
1068,426333202200726,[개] 푸들,2022(년생),6(Kg),"나이 미상, 현장인계, 갈색",나이 미상 현장 인계 갈색
1069,426332202200568,[고양이] 한국 고양이,2022(년생),0.45(Kg),"2두동시입소,어미없이버려짐,영양상태부족,북구2-252호",2 동시 입소 어미 없이 버리 짐 영양 상태 부족 북구
1070,426332202200567,[고양이] 한국 고양이,2022(년생),0.5(Kg),"어미없이혼자버려짐,영양상태부족,구충도포,북구2-251호",어미 없이 혼자 버리 짐 영양 상태 부족 구충 포 북구
1071,426330202200476,[고양이] 혼합,2019(년생),3.2(Kg),"기립불능, 사고의심, 기력매우 저하",기립 불능 사고 심 기력 매우 저하
1072,426330202200475,[고양이] 혼합,2022(년생),0.42(Kg),"3개월미만 추정, 영양상태 불량, 기력저하",3 개월 미만 추정 영양 상태 불량 기력 저하
1073,426330202200474,[고양이] 혼합,2022(년생),0.2(Kg),"3개월미만 추정, 영양상태 불량, 기력저하",3 개월 미만 추정 영양 상태 불량 기력 저하
1074,411319202200527,[개] 진도견,2021(년생),12(Kg),온순 청색목걸이,온순 청색 목걸이
1075,411319202200514,[고양이] 한국 고양이,2021(년생),3(Kg),사나움 꼬리절단 감염,사나움 꼬리 절단 감염
1076,411314202200491,[개] 프렌치 불독,2020(년생),12.5(Kg),치석없고가슴줄착용하고있으며온순하고잘따르며경계심없음,치석 없 가슴 줄 착용 온순 잘 따르 경계심 없
1077,411313202200734,[고양이] 한국 고양이,2018(년생),2.7(Kg),탈수심함/마름/신부전의심,타 수심 마름 신부전 심
1078,411313202200733,[고양이] 한국 고양이,2021(년생),3(Kg),매우순함/주인사망으로 구조됨,매우 순하 주인 사망 구조
1079,411306202200648,[개] 요크셔 테리어,2020(년생),2.2(Kg),노란끈+빨간테두리목걸이착용. 귀쫑긋. 코검정. 꼬리단미됨. 털때탐.,노랗 끈 빨갛 테두리 목걸이 착용 귀 쫑긋 코 검정 꼬리 단 미 터 때 탐
1080,411300202200423,[고양이] 한국 고양이,2022(년생),0.5(Kg),눈곱. 콧물. 코연핑크. 온순. 털때탐.,눈곱 콧물 코 연 핑크 온순 터 때 탐
1081,411300202200422,[고양이] 한국 고양이,2022(년생),0.2(Kg),눈곱. 콧물. 저체온. 기립못함. 기력없음. 설사. 코연핑크. 털때탐.,눈곱 콧물 저체온 기립 못 기력 없 설사 코 연 핑크 터 때 탐
1082,448546202200600,[개] 진도견,2020(년생),20(Kg),"진도견 종류, 흰색, 약 2살정도, 약 20kg 정도, 약간 경계심이 있음",진도 견 종류 흰색 약 2 살 정도 약 20 정도 약간 경계심 있음
1083,448546202200599,[개] 믹스견,2022(년생),4(Kg),"믹스견, 검은색, 생후 1년 미만 추정, 약 4kg 정도, 경계심이 약간 있음",믹스 견 검은색 생후 1 년 미만 추정 약 4 정도 경계심 약간 있음
1084,448546202200598,[개] 진도견,2020(년생),15(Kg),"진도견 종류, 수컷, 흰색, 약 2살정도, 약 15kg 정도, 사나움",진도 견 종류 수컷 흰색 약 2 살 정도 약 15 정도 사나움
1085,448546202200597,[개] 믹스견,2019(년생),6(Kg),"믹스견, 흰색, 암컷, 약 3살정도 추정, 약 6kg정도, 온순함",믹스 견 흰색 암컷 약 3 살 정도 추정 약 6 정도 온순
1086,448546202200596,[개] 믹스견,2022(년생),2(Kg),"수컷, 믹스견, 흰색, 생후 1년 미만 추정, 약 2kg, 온순함",수컷 믹스 견 흰색 생후 1 년 미만 추정 약 2 온순
1087,448546202200595,[개] 믹스견,2022(년생),2(Kg),"암컷, 믹스견, 검은색, 생후 1년 미만 추정, 약 2kg, 온순함",암컷 믹스 견 검은색 생후 1 년 미만 추정 약 2 온순
1088,448546202200594,[개] 믹스견,2022(년생),2(Kg),"암컷, 믹스견, 흰색, 생후 1년 미만 추정, 약 2kg, 온순함",암컷 믹스 견 흰색 생후 1 년 미만 추정 약 2 온순
1089,448537202201221,[고양이] 한국 고양이,2022(년생),0.5(Kg),허피스,허 피스
1090,448537202201220,[고양이] 한국 고양이,2022(년생),0.7(Kg),피부 안좋음,피부 안 좋
1091,448536202201917,[고양이] 한국 고양이,2022(년생),1(Kg),허피스바이러스 감염 심함..,허 피스 바이러스 감염 심
1092,448536202201916,[개] 믹스견,2020(년생),15(Kg),파랑색 목줄 착용/ 영리하게 생긴아이,파랑색 목줄 착용 영리 생기 아이
1093,448536202201915,[개] 믹스견,2022(년생),2(Kg),순하게 생긴 귀여운 강아지,순하 생기 귀엽 강아지
1094,448536202201914,[개] 믹스견,2022(년생),1.5(Kg),눈이 예쁜 귀여운 강아지,눈 예쁘 귀엽 강아지
1095,448536202201913,[고양이] 한국 고양이,2022(년생),0.5(Kg),눈색이 예쁜 새끼냥이,눈 색 예쁘 새끼 냥
1096,448536202201912,[개] 믹스견,2022(년생),3(Kg),쳐진 눈매가 귀여운 강아지,쳐지 눈매 귀엽 강아지
1097,448536202201911,[개] 믹스견,2020(년생),7(Kg),순하고 예쁜 아이,순하 예쁘 아이
1098,448534202200568,[개] 믹스견,2021(년생),7(Kg),사람을 좋아하고 잘따름,사람 좋아하 자
1099,447523202200580,[개] 셰퍼드,2021(년생),15(Kg),하운드와 셰퍼드의 중간. 무책임한 인간에게 버려졌지만 살인미소를 그대에게보내요.그대 어서 나타나줘요,하운드 셰퍼드 중간 무책임 인간 버리 살인 미소 보 어
